BrukerID,Kjonn,Alder,Jobb,Postkode
0,F,45,6,92103
1,M,50,16,55405-2546
2,M,18,20,44089
3,M,35,1,33304
4,M,35,6,48105
5,M,25,20,664
6,M,50,14,379
7,F,25,0,264
8,M,25,4,70806
9,M,25,19,45701
10,F,18,1,95864
11,M,35,1,478
12,M,45,0,10543
13,M,50,7,34243
14,M,25,4,53140
15,F,18,4,60625
16,M,25,17,03570
17,M,35,7,30117
18,M,50,1,01096
19,M,25,15,02143
20,M,35,0,55127
21,M,35,6,10011
22,F,45,12,23116
23,M,35,5,33317
24,M,50,20,20009
25,M,35,7,02135
26,M,18,4,02451
27,F,18,0,94587
28,M,25,12,98074
29,M,56,1,55337-4056
30,F,25,9,77449
31,M,25,1,94720
32,M,25,0,45011
33,M,18,2,90210
34,M,25,0,95136
35,F,25,0,55421
36,M,18,0,19134
37,F,35,3,99504
38,M,25,14,60153
39,M,18,19,94618
40,M,25,0,40515
41,M,35,17,45255
42,F,56,0,538
43,M,25,0,37919
44,M,25,17,55447
45,M,1,10,19116
46,F,25,98,66204
47,F,25,4,78728
48,M,25,17,20886
49,F,56,6,14612
50,M,25,0,24060
51,M,35,7,76109
52,M,45,0,53713
53,M,25,7,30115
54,M,35,0,55303
55,F,18,20,94949
56,M,25,7,11228
57,M,18,0,92130
58,M,25,0,32112
59,F,25,6,60660
60,F,35,12,94014
61,M,35,7,61910
62,F,18,4,63146
63,M,35,1,08840
64,M,45,0,12065
65,M,25,12,10128
66,F,18,4,01002
67,F,45,2,01545
68,M,35,17,93436
69,M,50,7,60510
70,M,45,0,92111
71,M,50,0,48105
72,M,35,11,73120
73,F,18,0,75115
74,M,25,0,02131
75,M,35,8,98674
76,M,25,1,400060
77,F,35,5,02021
78,M,45,0,92626
79,F,35,0,97068
80,M,25,7,63366
81,F,25,3,38134
82,M,18,4,29649
83,M,25,20,10010
84,M,25,17,19801
85,M,35,6,37923
86,F,50,4,96825
87,F,25,2,53523
88,F,50,7,94949
89,M,35,2,90292
90,M,18,5,80209
91,M,1,10,03608
92,F,18,0,90038
93,M,35,1,19149
94,F,45,12,954025
95,M,35,2,98055
96,M,25,12,90278
97,M,18,15,94606
98,M,25,0,10003
99,M,45,1,80634
100,F,25,19,60201
101,M,18,16,29464
102,F,18,4,63332
103,M,35,1,23185
104,M,35,3,55405
105,M,56,17,06405
106,F,25,5,47129
107,M,25,0,10021
108,M,25,7,74401
109,M,35,1,14260
110,M,35,14,484
111,M,25,14,98103
112,M,35,15,01775
113,M,45,16,92018
114,F,18,4,14620
115,F,18,4,30010
116,M,18,4,32606
117,F,18,4,469
118,M,18,0,49445
119,F,18,1,45458
120,M,25,2,43202
121,M,50,1,88001
122,M,25,4,43138
123,M,35,7,91302
124,M,50,16,92129
125,M,35,7,77005
126,M,25,0,07040
127,M,56,20,91030
128,M,50,7,40601
129,M,25,1,19335
130,M,25,2,21202
131,F,25,7,75093
132,M,25,0,78730
133,F,35,0,08043
134,M,35,7,55413
135,M,56,98,92065
136,M,25,17,43201
137,F,35,6,97838
138,F,35,0,482
139,M,25,0,33134
140,M,1,10,75040
141,F,1,10,10706
142,M,25,16,21203
143,M,50,13,85749
144,F,25,3,01770
145,F,25,0,19063
146,M,18,12,97205
147,F,45,1,12449
148,M,18,17,99205
149,M,50,7,80004-4448
150,F,25,7,55122
151,F,25,0,94117
152,M,18,10,11235
153,M,25,0,48473
154,M,56,13,13407
155,M,35,7,408
156,F,25,15,64116
157,F,18,4,30134
158,M,18,4,43214
159,M,50,11,48823
160,F,25,11,10022
161,M,35,7,408
162,F,35,12,45249
163,F,25,15,91902
164,F,25,12,770
165,F,35,19,75069
166,M,25,14,22205
167,F,45,12,08033
168,M,25,6,53211
169,M,25,0,97333
170,M,25,20,94530
171,M,18,0,677
172,F,1,0,02115
173,F,18,4,60137
174,F,18,4,95076
175,M,25,12,27707
176,M,25,12,94608
177,F,18,2,442
178,F,25,7,78703
179,M,18,4,78749
180,M,45,1,43026
181,F,35,0,55410
182,M,25,1,44303
183,M,45,17,40515
184,M,35,11,20895
185,M,50,0,48104
186,M,25,0,55421
187,M,35,98,53403
188,M,45,1,02135
189,M,45,7,02081
190,M,25,4,22903
191,M,18,0,48104
192,M,1,10,95926
193,F,25,1,97225
194,F,18,0,55414
195,F,18,4,5849574
196,M,35,11,98443
197,M,25,7,10003
198,M,25,15,92557
199,F,25,7,37206
200,M,25,17,438
201,M,18,4,37130
202,F,35,7,33547
203,M,35,17,95476
204,M,25,20,664
205,M,25,14,74012
207,F,25,7,78232
208,F,25,4,48042
209,F,18,4,90024
210,M,35,14,89119
211,M,25,2,02066
212,M,35,0,02108
213,F,56,0,95062
214,F,35,9,278
215,F,25,1,98027
216,M,35,17,97124
217,M,18,12,55076
218,M,45,3,90006
219,M,18,4,60073
220,M,18,4,94704
221,M,25,4,22901
222,M,25,12,19067
223,M,1,19,15748
224,F,18,4,55455
225,M,25,7,02150
226,M,25,2,10028
227,M,25,12,91910
228,M,35,7,94501
229,M,18,4,43210
230,M,25,0,45233
231,M,25,14,55391
232,F,56,3,30127
233,M,35,0,98368
234,M,35,4,45205
235,F,45,1,15208
236,F,18,4,48433
237,M,35,7,10001
238,M,35,7,408
239,M,25,5,46254
240,M,18,0,15237
241,F,25,1,80210
242,F,35,3,11229
243,F,56,0,949702
244,M,25,4,27514
245,M,45,0,60462
246,M,50,0,02090
247,M,18,20,22203
248,F,18,0,437
249,M,25,2,10023
250,M,18,20,76135
251,M,25,7,68164
252,M,18,4,43235
253,M,56,17,23464-3016
254,F,45,0,455
255,M,25,12,02115
256,F,45,16,97215
257,F,18,4,53715
258,M,25,17,27707
259,F,35,0,85258
260,M,25,0,52556
261,F,18,4,98052
262,F,45,12,15801
263,M,35,13,62035
264,F,18,4,95616
265,M,56,0,27705
266,F,25,0,02138
267,M,25,17,19711
268,M,25,5,46239
269,M,18,0,38120
270,M,35,14,78611
271,M,1,10,98043-3621
272,F,18,20,45220
273,M,35,6,80917
274,M,25,15,02446
275,M,25,0,91344
276,M,25,7,91344
277,M,35,7,408
278,F,56,0,21114
279,M,18,17,06040
280,M,25,0,95616
281,M,56,7,21773
282,M,25,4,92173
283,M,56,7,55042
284,M,25,3,85018
285,M,25,16,78411
286,F,35,20,66205
287,F,18,3,95825
288,M,45,0,750
289,F,1,0,53538
290,M,50,18,95472
291,M,45,6,78750
292,F,45,0,55419
293,M,50,20,98119
294,F,50,13,02136-1522
295,M,25,15,12203
296,M,25,19,94607
297,F,25,0,264
298,M,25,7,94127
299,M,1,10,12701
300,M,35,6,08108
301,M,35,14,484
302,M,56,7,92065
303,M,45,16,01880
304,F,35,7,55111
305,M,56,0,01886
306,M,18,0,49506
307,M,18,12,55105
308,F,18,2,72701
