FilmID,Tittel,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,Autumn in New York (2000),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,"Vie est belle, La (Life is Rosey) (1987)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Defying Gravity (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Ruthless People (1986),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Portraits Chinois (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Defending Your Life (1991),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,"Omega Code, The (1999)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,Mad City (1997),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,National Lampoon's Senior Trip (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Misérables, Les (1995)",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11,"Decline of Western Civilization Part II: The Metal Years, The (1988)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,"Slumber Party Massacre, The (1982)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Species II (1998),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
14,Westworld (1973),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
15,Madagascar Skin (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,"Goodbye Girl, The (1977)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Roman Holiday (1953),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Beverly Hills Cop III (1994),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Maximum Overdrive (1986),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Eyes Without a Face (1959),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,Shaft's Big Score! (1972),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Indiana Jones and the Temple of Doom (1984),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Dark Crystal, The (1982)",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27,"Invitation, The (Zaproszenie) (1986)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,Tumbleweeds (1999),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,Gulliver's Travels (1939),0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Wrong Trousers, The (1993)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,'Til There Was You (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32,Schlafes Bruder (Brother of Sleep) (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,Tarantella (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,"Prince of Tides, The (1991)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,Room at the Top (1959),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,"Piano, The (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
37,Faithful (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Highlander (1986),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Wend Kuuni (God's Gift) (1982),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,Curtis's Charm (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
41,"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,Crooklyn (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Sweet Hereafter, The (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,Bhaji on the Beach (1993),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
45,"Great White Hype, The (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Boy Called Hate, A (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Working Girl (1988),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
48,To Catch a Thief (1955),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
49,Smoke Signals (1998),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
50,"Believers, The (1987)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
51,Get Bruce (1999),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,Halloween 5: The Revenge of Michael Myers (1989),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Wedding Bell Blues (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Killing, The (1956)",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
55,Rudy (1993),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,Shopping (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,Loaded (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
58,Quartier Mozart (1992),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Brassed Off (1996),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
