FilmID,Tittel,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Utgivelsesår,FAA
0,Autumn in New York (2000),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2000.0,30.416666666666668
1,"Vie est belle, La (Life is Rosey) (1987)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1987.0,29.833333333333332
2,Defying Gravity (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1997.0,30.0
3,Ruthless People (1986),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.0,31.88425925925926
4,Portraits Chinois (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996.0,29.894868
5,Defending Your Life (1991),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1991.0,29.4125
6,"Omega Code, The (1999)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.0,15.142857142857142
7,"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1996.0,26.80909090909091
8,Mad City (1997),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1997.0,28.75
9,National Lampoon's Senior Trip (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,19.22222222222222
10,"Misérables, Les (1995)",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1995.0,30.593984962406015
11,"Decline of Western Civilization Part II: The Metal Years, The (1988)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1988.0,28.516129032258064
12,"Slumber Party Massacre, The (1982)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1982.0,22.666666666666668
13,Species II (1998),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1998.0,33.375
14,Westworld (1973),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1973.0,33.59440559440559
15,Madagascar Skin (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995.0,29.894868
16,"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1998.0,29.38144329896907
17,"Goodbye Girl, The (1977)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1977.0,36.05347593582888
18,Roman Holiday (1953),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1953.0,30.8
19,Beverly Hills Cop III (1994),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.0,26.842105263157894
20,Maximum Overdrive (1986),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1986.0,26.555555555555557
21,"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1972.0,29.894868
22,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1975.0,37.36842105263158
23,Eyes Without a Face (1959),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1959.0,35.0
24,Shaft's Big Score! (1972),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1972.0,23.8
25,Indiana Jones and the Temple of Doom (1984),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984.0,28.53476821192053
26,"Dark Crystal, The (1982)",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1982.0,26.15633423180593
27,"Invitation, The (Zaproszenie) (1986)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1986.0,29.894868
28,Tumbleweeds (1999),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1999.0,35.44444444444444
29,Gulliver's Travels (1939),0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939.0,32.74576271186441
30,"Wrong Trousers, The (1993)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993.0,27.653950953678475
31,'Til There Was You (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1997.0,30.0
32,Schlafes Bruder (Brother of Sleep) (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,50.0
33,Tarantella (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,29.894868
34,"Prince of Tides, The (1991)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1991.0,32.890756302521005
35,Room at the Top (1959),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1959.0,44.470588235294116
36,"Piano, The (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1993.0,30.77906976744186
37,Faithful (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996.0,21.5
38,Highlander (1986),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.0,27.271523178807946
39,Wend Kuuni (God's Gift) (1982),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1982.0,25.0
40,Curtis's Charm (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,29.894868
41,"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1925.0,32.41558441558441
42,Crooklyn (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.0,24.789473684210527
43,"Sweet Hereafter, The (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1997.0,28.778656126482215
44,Bhaji on the Beach (1993),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1993.0,37.92
45,"Great White Hype, The (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996.0,25.95
46,"Boy Called Hate, A (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,29.894868
